#model_version:v2025.03.14,score_date:2026-06-05T00:00:00+0000
#cve,epss,percentile
cve,epss,percentile
CVE-2021-44228,0.975440000,1.000000000
CVE-2014-0160,0.943210000,0.990000000
CVE-2017-5638,0.974000000,0.985000000
CVE-2019-19781,0.961000000,0.970000000
CVE-2018-13379,0.955000000,0.960000000
CVE-2099-99999,0.870000000,0.950000000
CVE-2021-26855,0.930000000,0.945000000
CVE-2020-1472,0.920000000,0.935000000
CVE-2022-22965,0.910000000,0.920000000
CVE-2023-23397,0.700000000,0.905000000
CVE-2016-10033,0.500000000,0.880000000
CVE-2015-1635,0.300000000,0.700000000
CVE-2012-1823,0.200000000,0.600000000
CVE-2011-3192,0.100000000,0.400000000
CVE-2000-0001,0.010000000,0.100000000
CVE-2008-4250,0.050000000,0.200000000
